"nomeempreendedor","niveldeemergencia"
"EMPRESA DE MINERACAO, EXPORTACAO E PESQUISA DO AMAPA LTDA","Sem emergência"
"CIA DE FERRO LIGAS DA BAHIA FERBASA","Sem emergência"
"CIA DE FERRO LIGAS DA BAHIA FERBASA","Sem emergência"
"CIA DE FERRO LIGAS DA BAHIA FERBASA","Sem emergência"
"FERRO + MINERACAO S.A.","Sem emergência"
"SALOBO METAIS S/A","Sem emergência"
"SALOBO METAIS S/A","Sem emergência"
"SALOBO METAIS S/A","Sem emergência"
"SALOBO METAIS S/A","Sem emergência"
"SALOBO METAIS S/A","Sem emergência"
"SALOBO METAIS S/A","Sem emergência"
"MINERACAO JUNDU LTDA","Sem emergência"
"METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","Sem emergência"
"BRASIL MINERIOS S/A","Sem emergência"
"EMPRESA MINERADORA BOA SORTE LTDA","Sem emergência"
"EXTRAÇÃO E COMÉRCIO DE AREIA BOFETE LTDA","Sem emergência"
"L PAVAN & CIA LTDA","Sem emergência"
"L PAVAN & CIA LTDA","Sem emergência"
"AGROPECUARIA SERRAMAR LTDA","Sem emergência"
"Empresa de Mineração Fiori do Taboão Ltda.","Sem emergência"
"MINERADORA AREIA NOVA LTDA","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"CBE COMPANHIA BRASILEIRA DE EQUIPAMENTO Filial: CBE COMPANHIA BRASILEIRA DE EQUIPAMENTO - EM RECUPERACAO JUDICIAL","Sem emergência"
"DUTRA EXTRACAO DE AREIA LTDA","Sem emergência"
"Valdinei Mauro de Souza","Sem emergência"
"BRASIL MINERIOS S/A","Sem emergência"
"MINERACAO COMISA LTDA","Sem emergência"
"SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","Nível de Alerta"
"SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","Sem emergência"
"MINERACAO JUNDU LTDA","Sem emergência"
"Construtora Martins Lanna Ltda.","Emergência Nivel 1"
"Construtora Martins Lanna Ltda.","Emergência Nivel 1"
"CARBETO DE SILICIO SIKA BRASIL LTDA","Sem emergência"
"AVG EMPREENDIMENTOS MINERARIOS S.A.","Sem emergência"
"AVG EMPREENDIMENTOS MINERARIOS S.A.","Sem emergência"
"CARBETO DE SILICIO SIKA BRASIL LTDA","Sem emergência"
"CARBETO DE SILICIO SIKA BRASIL LTDA","Sem emergência"
"FERROMINAS - MINERAÇÃO LTDA","Sem emergência"
"FERROMINAS - MINERAÇÃO LTDA","Sem emergência"
"PEDREIRA UM VALEMIX LTDA","Sem emergência"
"Mib Mineração Ibirité Ltda","Sem emergência"
"Mib Mineração Ibirité Ltda","Sem emergência"
"MINERACAO MORRO DO IPE S.A.","Sem emergência"
"Alcoa World Alumina Brasil Ltda.","Sem emergência"
"VALE S.A.","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
