"nome","nomeempreendedor","latitude","longitude"
"RESERVATÓRIO 02","Alcoa World Alumina Brasil Ltda.","-02°29'02.500''","-56°12'06.600''"
"CA01","HERCULANO MINERACAO LTDA","-20°15'37.580''","-43°55'36.390''"
"CA02","MINERACAO CARAIBA S/A","-09°50'08.630''","-39°49'28.160''"
"CAVA B","INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","-21°57'58.000''","-46°30'40.000''"
"Conjunto de cavas em desativação recuperação","INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","-21°56'24.914''","-46°29'20.828''"
"Area M","EMBU S A ENGENHARIA E COMERCIO","-23°24'34.400''","-46°43'52.400''"
"Sedimentação de finos","SERABI MINERACAO S.A.","-06°19'30.340''","-55°47'10.880''"
"Barragem T04","SERABI MINERACAO S.A.","-06°19'30.300''","-55°47'04.200''"
"Barragem Morro Pelado 2","VALE S.A.","-19°58'12.632''","-43°35'48.721''"
"BR SANTA FELICIDADE","VALE S.A.","-20°10'33.845''","-43°29'14.340''"
"Pilha 01 - P1C5","VALE S.A.","-19°55'56.851''","-43°12'33.168''"
"Pilha 05 - P5C1","VALE S.A.","-06°06'29.300''","-50°10'08.600''"
"Pilha 05 - P5C3","Valdinei Mauro de Souza","-16°15'23.890''","-56°40'10.530''"
"Barragem Mãe D'Água","VALE S.A.","-05°58'45.400''","-50°08'29.100''"
"Barragem do Bandeira","CAIO CESAR GIMENES RODRIGUES SILVA","-16°03'58.900''","-56°33'50.270''"
"OURO FINO","Topazio Imperial Mineração Comercio e Industria Ltda","-20°26'50.670''","-43°38'37.760''"
"MBR II NORTE","MINERACAO MARACA INDUSTRIA E COMERCIO S/A","-14°12'21.000''","-49°24'22.200''"
"Maney Mineração","FREDERICO AUGUSTO DE ARRUDA GIMENEZ MINERACAO","-16°03'46.540''","-56°33'42.940''"
"Barragem T05","VALE S.A.","-20°23'41.200''","-43°51'05.600''"
"BR ISMAEL","VALE S.A.","-20°24'53.200''","-43°51'54.500''"
"Barragem de Rejeito Estrela 02","GRANHA LIGAS LTDA","-21°05'02.170''","-44°34'36.666''"
"BR SANTA 01","PROMETALICA MINERACAO LTDA","-15°23'46.300''","-58°08'42.900''"
"MARANATA II","MINERACAO APOENA S.A.","-14°51'08.697''","-59°39'16.087''"
"CA04","CIA DE FERRO LIGAS DA BAHIA FERBASA","-10°32'44.200''","-40°25'30.700''"
"QUEIMADA03","VALE S.A.","-20°03'29.700''","-43°57'50.700''"
"PILHASUL - PCS1","CARBONIFERA METROPOLITANA S/A","-28°28'56.790''","-49°27'04.780''"
"PILHASUL - PCS3","VALE S.A.","-19°33'48.506''","-43°12'22.618''"
"Barragem Oriente01","VALE S.A.","-19°37'31.668''","-43°10'58.597''"
"Berion","MOSAIC FERTILIZANTES P&K LTDA.","-24°43'07.480''","-48°05'43.710''"
"Campos","MOSAIC FERTILIZANTES P&K LTDA.","-19°38'59.000''","-46°56'46.000''"
"T G de Souza","Carbonífera Belluno Ltda.","-28°35'12.667''","-49°26'35.575''"
"BR BRASÃO","VALLOUREC TUBOS DO BRASIL LTDA.","-20°09'09.800''","-43°57'55.600''"
"Barragem de Mineração-CPM","SANTA FELICIDADE MINERACAO SPE LTDA","-15°39'42.790''","-56°20'38.590''"
"SOL NASCENTE","VALE S.A.","-19°36'26.409''","-43°15'26.118''"
"MASSANGANA 01","ARTEMYN RIO CAPIM CAULIM LTDA.","-01°34'24.398''","-48°45'10.378''"
"SR.PEDRINHO","ARTEMYN RIO CAPIM CAULIM LTDA.","-01°34'27.000''","-48°45'01.800''"
"Barragem 01","ARTEMYN RIO CAPIM CAULIM LTDA.","-01°34'49.000''","-48°44'51.400''"
"Bacia do Castanheira","GERDAU ACOMINAS S/A","-20°25'24.810''","-43°45'11.170''"
"Dique de Pedra","MINERACAO RIO DO NORTE SA","-01°40'24.500''","-56°27'10.100''"
"Barragem Quéias","MINERACAO RIO DO NORTE SA","-01°40'29.700''","-56°27'39.300''"
"brejão","MINERACAO RIO DO NORTE SA","-01°41'00.600''","-56°27'09.600''"
"MULTI 1","MINERACAO RIO DO NORTE SA","-01°40'57.500''","-56°27'47.800''"
"Barragem Bacia de Decantação 02","Conterpa, Conservação e Terraplagem e Pavimentação Ltda","-22°51'07.563''","-47°14'21.706''"
"RX-01","NEXA RECURSOS MINERAIS S.A.","-17°58'21.600''","-46°48'52.200''"
"Santa Bárbara","MINERACAO BOM RETIRO LTDA","-22°11'20.000''","-47°27'25.000''"
"LIPINISKY","HEUREKA MINERACAO LTDA","-15°39'01.002''","-56°23'13.280''"
"Barragem II","HEUREKA MINERACAO LTDA","-15°39'16.680''","-56°23'09.060''"
"P.R.A","Brasmic Mineração Areia e Brita Ltda","-19°59'08.000''","-44°07'17.300''"
"Barragem de Rejeitos - BAR","Copelmi Mineração Ltda","-30°08'44.381''","-52°00'13.591''"
"TQ 6301 A - POND 1 A","CSN MINERACAO S.A.","-20°26'16.735''","-43°50'02.435''"
"TQ 6301 B - POND 1 B","CSN MINERACAO S.A.","-20°29'09.000''","-43°53'09.000''"
"CAFUNDÓ","GINEZ GIMENES NETO","-16°01'37.490''","-56°31'29.280''"
"Barragem Metago","LARGO VANADIO DE MARACAS S.A","-13°41'12.251''","-40°41'29.982''"
"Dique 1010","LARGO VANADIO DE MARACAS S.A","-13°41'14.100''","-40°41'20.900''"
"Mosquitos","COOPERATIVA DE MINERACAO DOS GARIMPEIROS DE PONTES E LACERDA - COMPEL","-15°08'07.570''","-59°22'37.050''"
"SANTA RITA","MINERACAO PARAGOMINAS S.A.","-03°15'53.440''","-47°43'16.200''"
"BARRAGEM JF ROST","ADRIANO JOSE DE MOURA SOUSA","-14°24'57.500''","-48°15'19.930''"
"Chácara Santa Maria","CSN MINERACAO S.A.","-20°29'06.000''","-43°56'00.000''"
"Mosquitos 2","YARA BRASIL FERTILIZANTES S/A Filial: YARA BRASIL FERTILIZANTES S/A","-18°16'47.500''","-46°51'43.600''"
"Barragem VERA","SAMACA FERROS LTDA","-15°46'42.000''","-40°19'04.200''"
"Barragem XAVIER","Extrativa Metalurgia S A","-20°53'34.300''","-46°42'19.000''"
"TD1","MORRO AGUDO MINERAIS LTDA","-17°30'38.400''","-46°49'42.000''"
"TD4","MORRO AGUDO MINERAIS LTDA","-17°30'48.000''","-46°49'42.000''"
"Sedimentacao IV","CARBONIFERA SIDEROPOLIS LTDA","-28°27'13.000''","-49°22'13.000''"
"km 190","T B K - MINERACAO LIMITADA","-22°56'18.300''","-47°14'24.900''"
"Baixinhos","BURITIRAMA MINERACAO S.A. FALIDO","-05°30'45.000''","-50°13'21.000''"
"T11","BURITIRAMA MINERACAO S.A. FALIDO","-05°30'32.687''","-50°14'00.427''"
"Sentinela","BURITIRAMA MINERACAO S.A. FALIDO","-05°30'48.910''","-50°14'07.920''"
"Sedimentacao V","MINERACAO MORRO DO IPE S.A.","-20°07'11.300''","-44°18'26.900''"
"Tupa 1","MINERACAO MORRO DO IPE S.A.","-20°06'37.550''","-44°17'12.020''"
"Dique Santa Cruz","COMPANHIA BRASILEIRA DO COBRE","-30°55'11.200''","-53°25'04.950''"
