"nome","nomemina"
"TANQUE DE DECANTAÇÃO","BR SANTA FELICIDADE 02"
"TANQUE DE DECANTAÇÃO 2","Bacia de Decantação S1"
"Cava do Germano","T G de Souza"
"Barragem 01","Dorival"
"BARRAGEM 02","Bacia de Acumulação de Efluente Tratado"
"DIQUE DE SAÍDA DE CAVA","Rabo de Bica"
"PORTO-4B","Santa Helena"
"Barragem de Germano","Barragem Candonga"
"189","BARRAGEM ÁGUA BRANCA"
"BARRAGEM DE GABIÕES","Dique 1"
"444 (A-3)","Dique IV"
"Pau D'Arco","Dique V"
"Nova Barragem de Santarém","Dique VII"
"SUMP DE CONTENÇÃO DE SEDIMENTOS","Alvo Crente"
"111 (Índio)","BRASE01"
"103 (Cruz)","Barragem I"
"BARRAGEM DE DEPOSIÇÃO DE LAMA","Barragem Magrini"
"Fazenda Santa Fé","PILHA 01 - PIC17"
"Barragem B12","PILHA 06 - P6C5"
"BACIA DE DECANTAÇÃO DA USINA RIO FIORITA","Dique B2"
"QUIXABA USINA","SOL NASCENTE"
"BARRAGEM 01","Barragem Torio 01"
"BARRAGEM 02","MASSANGANA 01"
"BARRAGEM SÃO GERALDO","BP-01"
"BARRAGEM SAO GERALDO 02","BP-02"
"BARRAGEM TABOQUINHA","Tadeu"
"BARRAGEM TARILÂNDIA 01","SERRA"
"BARRAGEM 339","BRAVO II"
"BARRAGEM 341","JABURU 2"
"BARRAGEM URUPA 01","Barragem Fazenda Aguassu"
"Santa Tereza","BARRAGEM COOP 01"
"Barragem da Grota","Barragem 1 - Decantação"
"Tanque Fundo","Barragem 2 - Decantação"
"BARRAGEM 7","Barragem  LVR"
"TB01","VALE GOLD"
"Barragem Aroeira","Pilha 07 - P7C2"
"Modulo 3","Barragem TB"
"Rejeito","BR ÁGUA DE COCO"
"BACIA DE REJEITOS SÃO BENTO","brejão"
"BARRAGEM DO BURACO","MULTI 1"
"BARRAGEM BOM JARDIM","Barragem JL"
"Barragem de Mercês","BRITO"
"GERAIS","PILHA 11 - P11C1"
"CAMC","PILHA 11 - P11C2"
"Barragem MCSA","PILHA11 - P11C3"
"Dique 3","PILHA11 - P11C4"
"POND 1 - BARRAGEM DE LIXIVIAÇÃO","Labourrie"
"POND 2 - BARRAGEM DE FLOTAÇÃO","Cajueiro"
"Cachoeirinha","Barragem 1"
"Dique Lisa","Barragem 2"
"POND 3 - BARRAGEM DE FLOTAÇÃO","Barragem 3"
"Santa Bárbara","Barragem 4"
"CHAPADINHA 061","Barragem Jauru"
"CHAPADINHA 221","LD 8 - Lagoa de disposição 8"
"PIRAPORÃO 138 II","TB04"
"BARRAGEM DE CLARIFICAÇÃO","DIEGO"
"PIRAPORÃO 138 III","Barragem - Valdenir"
"Barragem de Rejeitos","Barragem Novo Astro"
"SANGUINETE","TARUMÃ II"
"Barragem Salinas 1","BARRAGEM DIQUE 2"
"B1","Fortuna"
"B2","Neta"
"B4","Novo Astro I"
"Califórnia","Barragem Bacia de Decantação 02"
"Marçu","Barragem Bacia de Decantação 03"
"Rancho Casca","JBS1"
"Barragem 02 - Canindé","Quevedo 3"
"Barragem 03 - Zé da Grota","RX-01"
"Dique 01 - Serra Azul","Lagoa São Chico"
"Dique 02 - Pitangui","Santa Bárbara"
"Dique 06 - Véu da Noiva Jusante","BR ÁGUIA DO SOL"
"Dique 08 - Pátio CMC","STC03"
"Dique de Concreto","LIPINISKY"
"Barragem 2 - Decantação","Barragem II"
"Guará 2","MD-01"
"BACIA DE REJEITOS BOM JARDIM","Dique do Dry Stacking"
"Guará 3","Barragem_Valdenir2"
"TD2","BACIA USINA DE BENEFICIAMENTO - IA"
"Barragem de Rejeito 01","BACIA USINA DE BENEFICIAMENTO - IB"
"Dique de Contenção de Sedimentos 02","BACIA DE RECIRCULAÇÃO - RI"
"Barragem Serra Azul","BACIA DE RECIRCULAÇÃO - RII"
"EB-2","Dique 06"
"Dique 01 de Terra","BARRAGEM DE MINERAÇÃO"
"Dique 2 de Concreto","PURO OURO"
"Pond de Emergência","BARBA"
"Dique 03","VCS"
"Barragem de Rejeito Max","MOCOTÓ"
"BRAVO 1","BR SANTA FELICIDADE 04"
"Barragem 3A - Sedimentação","VALE DO OURO"
"Barragem 3B - Sedimentação","Barragem MSJ"
"Barragem 4 - Acumulação","CATARINO"
"Barragem 5 - Captação","BARRAGEM 03"
"Barragem 6 - Dique Filtrante","LD-01"
"B5","Barragem de Rejeito - Mineração Ouro Fino"
"barragem 7 - Dique Filtrante","Mineração Livramento"
"Barragem 8 - Dique Filtrante","P.R.A"
"Barragem 9 - Dique Filtrante","BR03"
"Bacuri","Barragem Serrinha"
"BACIA DE REJEITOS 16","Dique PDE 1"
"SAMACA","Barragem de Rejeito Capim Gold 2"
"803.285/2014","Barragem da Grota"
"BARRAGEM T01","Dique de Contenção de Sedimentos Crista"
"CASA DE PEDRA","Dique do Puma 04"
"BARRAGEM  BLOCO NORTE","Barragem de Mineração-CPM"
