"nome","nomemina","nomeempreendedor","uf"
"Barragem Serrinha","TP1","MINERACAO RIO DO NORTE SA","MG"
"Bacia Grota da Onça","TP2","MINERACAO RIO DO NORTE SA","MG"
"LD 8 - Lagoa de disposição 8","SP1","MINERACAO RIO DO NORTE SA","MT"
"TB04","OURO BRANCO OESTE","MINERAÇÃO OURO BRANCO SALTO DE PIRAPORA LTDA ME","SP"
"Barragem - Valdenir","B4","NACIONAL DE GRAFITE LTDA","MG"
"Barragem Novo Astro","Califórnia","NACIONAL DE GRAFITE LTDA","MT"
"TARUMÃ II","Marçu","NACIONAL DE GRAFITE LTDA","MT"
"Novo Astro I","Rancho Casca","NACIONAL DE GRAFITE LTDA","MT"
"Barragem Bacia de Decantação 02","Conterpa","Conterpa, Conservação e Terraplagem e Pavimentação Ltda","SP"
"Barragem Bacia de Decantação 03","Modulo 3","NEXA RECURSOS MINERAIS S.A.","SP"
"BIG BERION","Módulo IV","NEXA RECURSOS MINERAIS S.A.","SP"
"Quevedo 3","Barragem de Contenção de Sedimentos do Josino","FERRO + MINERACAO S.A.","MG"
"RX-01","Barragem Aroeira","NEXA RECURSOS MINERAIS S.A.","MG"
"Lagoa São Chico","Martins","HELLEN ELIZABETH CORREA MARTINS","MG"
"Santa Bárbara","Bom Retiro 2","MINERACAO BOM RETIRO LTDA","RO"
"BR ÁGUIA DO SOL","MBR II SUL","PEDREIRA IBIUNA LTDA","RO"
"STC03","Barragem Paciência","MINERACAO SERRAS DO OESTE LIMITADA","RO"
"LIPINISKY","Barragem de Rejeito Estrela","HEUREKA MINERACAO LTDA","RO"
"Barragem II","Barragem de Rejeito Estrela 02","HEUREKA MINERACAO LTDA","SP"
"Nova Baixo João Pereira","Conjunto de cavas em desativação recuperação","MINERADORA AREIA NOVA LTDA","AP"
"Módulo IV","Guará 3","MINERADORA PONTE ALTA LTDA","AP"
"Barragem de Rejeito Almas","Dique 3 (Barragem 1 - Portaria)","PEDREIRA SARGON LTDA","AP"
"MD-01","BARRAGEM B2","MINERIOS NACIONAL S.A.","AP"
"Dique do Dry Stacking","BARRAGEM B2 AUXILIAR","MINERIOS NACIONAL S.A.","MT"
"Barragem_Valdenir2","BARRAGEM ECOLÓGICA 1","MINERIOS NACIONAL S.A.","GO"
"BACIA USINA DE BENEFICIAMENTO - IA","Taboquinha 02 - Serra Azul","ESTANHO DE RONDONIA S/A","MT"
"BACIA USINA DE BENEFICIAMENTO - IB","Taboquinha 01 - Crente","ESTANHO DE RONDONIA S/A","MG"
"BACIA DE RECIRCULAÇÃO - RI","Taboquinha 03","ESTANHO DE RONDONIA S/A","MG"
"BACIA DE RECIRCULAÇÃO - RII","Taboquinha 04","ESTANHO DE RONDONIA S/A","MG"
"BARRAGEM DE MINERAÇÃO","BARRAGEM DE CLARIFICAÇÃO","AGIS MINERACAO LTDA.","MG"
"PURO OURO","Barragem do Mirante I e II","CADAM S.A.","MG"
"BARBA","Barragem da Cava","CADAM S.A.","MG"
"VCS","North Mill Pond","AMAPA MINERALS LTDA","MT"
"MOCOTÓ","TAP D","AMAPA MINERALS LTDA","MG"
"BR SANTA FELICIDADE 04","Leste","AMAPA MINERALS LTDA","RS"
"VALE DO OURO","Santa Tereza","Jeová Barbosa de Morais","RS"
"Barragem MSJ","Barragem MSG","MINERACAO SERRA GRANDE S A","MG"
"CATARINO","Santa Tereza II","Jeová Barbosa de Morais","MG"
"TR1","CONTENÇÃO DE REJEITOS DE CDS II","ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.","MG"
"SP-25B","CONTENÇÃO DE FINOS DE CDS I","ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.","MT"
