"nome","nomemina","nomeempreendedor","uf"
"TABOÃO 01","Barragem do Fundão","AVG EMPREENDIMENTOS MINERARIOS S.A.","MG"
"TABOÃO 02","Barragem dos Coqueiros","AVG EMPREENDIMENTOS MINERARIOS S.A.","MG"
"Barragem Paciência","Dique 2","CARBETO DE SILICIO SIKA BRASIL LTDA","MG"
"Moita","Dique 3","CARBETO DE SILICIO SIKA BRASIL LTDA","MG"
"Barragem A1","Dique BIII-6","FERROMINAS - MINERAÇÃO LTDA","MG"
"Barragem Água Fria","Dique BIII-7","FERROMINAS - MINERAÇÃO LTDA","PA"
"SP1","Dique de Captação","PEDREIRA UM VALEMIX LTDA","PA"
"SP10","Dique - Pilha 2","Mib Mineração Ibirité Ltda","BA"
"SP11","Dique - Pilha 4","Mib Mineração Ibirité Ltda","BA"
"SP12","Dique Conquistinha","MINERACAO MORRO DO IPE S.A.","BA"
"BARRAGEM CASA DE PEDRA","Lagoa de Disposição n°04 - LD4","Alcoa World Alumina Brasil Ltda.","BA"
"SP13","PDE02","VALE S.A.","BA"
"SP14","Pilha 01 - P1C1","MINERACAO CARAIBA S/A","BA"
"SP15","Pilha 01 P1C2","MINERACAO CARAIBA S/A","BA"
"BARRAGEM B4","Pilha 01 - P1C4","MINERACAO CARAIBA S/A","BA"
"SP16","Pilha 01 - P1C5","MINERACAO CARAIBA S/A","BA"
"BARRAGEM DO LAGARTO","Pilha 01 - P1C6","MINERACAO CARAIBA S/A","BA"
"SP2_3","Pilha 01 - P1C7","MINERACAO CARAIBA S/A","BA"
"SP4 Norte","Pilha 01 - P1C8","MINERACAO CARAIBA S/A","BA"
"SP4 Sul","Pilha 01 - P1C9","MINERACAO CARAIBA S/A","BA"
"DIQUE DO ESMERIL IV","Pilha 05 - P5C1","MINERACAO CARAIBA S/A","BA"
"SP5 Leste","Pilha 05 - P5C2","MINERACAO CARAIBA S/A","BA"
"SP5 Oeste","Pilha 05 - P5C3","MINERACAO CARAIBA S/A","BA"
"SP6","Pilha 05 - P5C4","MINERACAO CARAIBA S/A","BA"
"SP7A","Pilha 05 - P5C5","MINERACAO CARAIBA S/A","BA"
"SP7B","Pilha 05 - XC1","MINERACAO CARAIBA S/A","MG"
"SP7C","Pilha 05 - P5XC2","MINERACAO CARAIBA S/A","AP"
"SP8","BARAÚNA - PBC1","MINERACAO CARAIBA S/A","MS"
"SP9","BARAÚNA - PBC2","MINERACAO CARAIBA S/A","SP"
"SP9A","BARAÚNA - PBC3","MINERACAO CARAIBA S/A","PA"
"TP1","BARRAGEM B1","Roberto Eustáquio Silva Pedrosa","PA"
"TP2","Barragem de Clarificação de Água","Zamapá Mineração S.a.","MG"
"GONÇA","Baia 4","VETRIA MINERACAO S.A.","PA"
"SANTA TERESA","Dique 5 (Barragem 4 - Bota fora)","PEDREIRA SARGON LTDA","SP"
"TANQUE DE LAMA","Dique de Finos I","AVB MINERACAO LTDA.","GO"
"D-1","Dique de Finos II","AVB MINERACAO LTDA.","GO"
"CAMPOS","Dique dos Búfalos","MOSAIC FERTILIZANTES P&K LTDA.","GO"
"D-2","MD 05/2016","MINERACAO DESCALVADO LIMITADA","MG"
"DIQUE DE FINOS I","Dique de finos 01 - Depósito Tamanduá","MOSAIC FERTILIZANTES P&K LTDA.","MG"
"1 Usina","Dique de finos 02 - Depósito Tamanduá","MOSAIC FERTILIZANTES P&K LTDA.","MG"
"3 Mina","Dique de finos 03 - Depósito Tamanduá","MOSAIC FERTILIZANTES P&K LTDA.","MS"
"Sul Pilha","BARRAGEM DE CONTENÇÃO DE ÁGUAS PLUVIAIS-DIQUE D-03","SICAL INDUSTRIAL LTDA.","MG"
"Piteiras","Gambá","VALE S.A.","MG"
"D-3","Pocilga","VALE S.A.","MG"
"BARRAGEM SUL OU TANQUE VELHO","PDE Lagoa Seca","VALE S.A.","MT"
"Barragem 1","Bacia 05 Alto da Serra","LHG MINING CORUMBA S.A","TO"
"Barragem da Mina II","SANTO ANTÔNIO","NIKI MINERACAO, COMERCIO E EXPORTACAO LTDA.","TO"
"DIQUE DE FINOS II","Dique Portaria","VALE S.A.","SP"
"Barragem da Cava","GAÚCHO","ALAIN STEPHANE RIVIERE MINERACAO","MT"
"Barragem do Felipe","BARRAGEM GEOMINAS-001","Geominas Minerações Ltda.","MT"
"Barragem do Muriacá","BARRAGEM GEOMINAS-002","Geominas Minerações Ltda.","MT"
"CALCINADOS","MBR II NORTE","PEDREIRA IBIUNA LTDA","MG"
"Barragem do Mirante I e II","Bacia 02-03 Alto da Serra Mn","LHG MINING CORUMBA S.A","MG"
"0-1","RODUÍ II","ADAO AFONSO RODUI","TO"
"COCURUTO","Barragem T05","A. C. ZARANELLA LTDA","BA"
"CONTENÇÃO DE REJEITOS DE CDS II","Barragem T06","Valdinei Mauro de Souza","BA"
"CONTENÇÃO DE REJEITOS DE CUIABÁ","Barragem B1","MINERACAO POSITIVA LTDA EM","BA"
"22","Barragem B3","MINERACAO POSITIVA LTDA EM","MG"
"Barragem de Rejeitos de Irecê","SANTA LUZIA","MINERACAO SANTA LUZIA LIMITADA","MG"
"LAGOA FACEL 4","P6C4","MINERACAO CARAIBA S/A","BA"
"30/jan.","P6C01","MINERACAO CARAIBA S/A","BA"
"LAGOA FACEL 3","P6C02","MINERACAO CARAIBA S/A","BA"
"42","TQ-1","SAINT-GOBAIN DO BRASIL PRODUTOS INDUSTRIAIS E PARA CONSTRUCAO LTDA","BA"
"68-1","TQ-2","SAINT-GOBAIN DO BRASIL PRODUTOS INDUSTRIAIS E PARA CONSTRUCAO LTDA","BA"
"69","PILHA01-C10","MINERACAO CARAIBA S/A","BA"
"75-1","PILHA01-C11","MINERACAO CARAIBA S/A","BA"
"81-1","PILHA01-C12","MINERACAO CARAIBA S/A","RO"
"Barragem B2","PILHA01-C13","MINERACAO CARAIBA S/A","RO"
"Barragem B3","PILHA05-C06","MINERACAO CARAIBA S/A","BA"
"Barragem B4","PILHA07-C1","MINERACAO CARAIBA S/A","MG"
"158 (A-1)","PILHA05-XC03","MINERACAO CARAIBA S/A","MT"
"161 (A-2)","CA01","METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","MG"
"B5","CA02","METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","RO"
"RIO BRANCO","PILHA 06 - P6C3","MINERACAO CARAIBA S/A","RO"
"DIQUE DE FINOS III","Gerais II","MINERACOES GERAIS LTDA","RO"
"BARRAGEM DO VIGIA","MARANATA II","SIDNEI RAFAEL DE SOUZA","RO"
"BARRAGEM B2 AUXILIAR","Dique dos Borges","MOSAIC FERTILIZANTES P&K LTDA.","MT"
"BARRAGEM B2","CA03","METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","BA"
"CONTENÇÃO DE FINOS DE CDS I","CA04","METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","BA"
"BARRAGEM ECOLÓGICA 1","QUEIMADA02","METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","BA"
"B4","QUEIMADA03","METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","BA"
"RAPAUNHA","MANÉ","Manoel Rodrigues Gimenes","BA"
"BARRAGEM DE FINOS II","PILHA 01 - P1C14","MINERACAO CARAIBA S/A","BA"
"BARRAGEM DE REJEITOS DO MIRIM","PILHA 05 - P5C07","MINERACAO CARAIBA S/A","BA"
"Sítio Horii","PILHA 05 - P5C08","MINERACAO CARAIBA S/A","BA"
"Barragem Santa Helena","PILHA 05 - P5C09","MINERACAO CARAIBA S/A","SP"
"Barragem de rejeito não magnético 02","PILHA 01 - PIC1A","MINERACAO CARAIBA S/A","SP"
"Barragem de rejeito não magnético 03","PILHASUL - PCS1","MINERACAO CARAIBA S/A","RO"
"PORTO-4A","PILHASUL - PCS2","MINERACAO CARAIBA S/A","MT"
"Barragem Santa Rita","PILHASUL - PCS3","MINERACAO CARAIBA S/A","MT"
"Dique Santa Rita","11 - DES","MINERACAO JUNDU LTDA","MT"
"SANTO ANTÔNIO","Chapadinha 061 B","UILSON ROMANHA & CIA LTDA","SC"
"VILA NOVA","Barragem Oriente01","METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","MT"
"TANQUE DE DECANTAÇÃO","BR SANTA FELICIDADE 02","SANTA FELICIDADE MINERACAO SPE LTDA","MT"
"TANQUE DE DECANTAÇÃO 2","Bacia de Decantação S1","SERGIO DA SILVA","MT"
"Cava do Germano","T G de Souza","ANTONIO CAROLINO DE SOUZA","MT"
"Barragem 01","Dorival","ALTA FLORESTA GOLD MINERACAO LTDA","MG"
"BARRAGEM 02","Bacia de Acumulação de Efluente Tratado","CARBONIFERA SIDEROPOLIS LTDA","MT"
"DIQUE DE SAÍDA DE CAVA","Rabo de Bica","PEDRO CERQUEIRA CALDAS","RO"
"PORTO-4B","Santa Helena","ALTA FLORESTA GOLD MINERACAO LTDA","PA"
"Barragem de Germano","Barragem Candonga","YAN BITTENCOURT NASCIMENTO","MT"
"189","BARRAGEM ÁGUA BRANCA","RIDALECIO DE SOUZA","BA"
"BARRAGEM DE GABIÕES","Dique 1","VALE S.A.","BA"
"444 (A-3)","Dique IV","VALE S.A.","BA"
"Pau D'Arco","Dique V","VALE S.A.","MT"
"Nova Barragem de Santarém","Dique VII","VALE S.A.","MT"
"SUMP DE CONTENÇÃO DE SEDIMENTOS","Alvo Crente","ALTA FLORESTA GOLD MINERACAO LTDA","MG"
"111 (Índio)","BRASE01","BRASE - BRASIL EXTRACAO, COMERCIO E INDUSTRIA DE ESTANHO EIRELI","MT"
"103 (Cruz)","Barragem I","CELESTA MINERACAO S.A","RO"
"BARRAGEM DE DEPOSIÇÃO DE LAMA","Barragem Magrini","NORAIR NELSON DE SOUZA","MT"
"Fazenda Santa Fé","PILHA 01 - PIC17","MINERACAO CARAIBA S/A","MT"
"Barragem B12","PILHA 06 - P6C5","MINERACAO CARAIBA S/A","MT"
"BACIA DE DECANTAÇÃO DA USINA RIO FIORITA","Dique B2","ITAMINAS COMERCIO DE MINERIOS SA","MT"
"QUIXABA USINA","SOL NASCENTE","COOPERATIVA DE PRODUTORES DE ESTANHO DO BRASIL COOPERTIN","MT"
"BARRAGEM 01","Barragem Torio 01","TORIO BRASIL MINERACAO LTDA","MT"
"BARRAGEM 02","MASSANGANA 01","COOPERATIVA DE PRODUTORES DE ESTANHO DO BRASIL COOPERTIN","MG"
"BARRAGEM SÃO GERALDO","BP-01","GDMBRASIL - GEOLOGIA E DESENVOLVIMENTO MINERAL LTDA","MG"
"BARRAGEM SAO GERALDO 02","BP-02","GDMBRASIL - GEOLOGIA E DESENVOLVIMENTO MINERAL LTDA","MT"
"BARRAGEM TABOQUINHA","Tadeu","João Gabriel Guizzo","MT"
"BARRAGEM TARILÂNDIA 01","SERRA","COOPERATIVA DE EXTRACAO DE METAIS E PEDRAS PRECIOSAS DE PONTES E LACERDA-MT","MT"
"BARRAGEM 339","BRAVO II","Robinson da Silva Bravo","BA"
"BARRAGEM 341","JABURU 2","Joaquim Aderaldo de Souza Neto","MT"
"BARRAGEM URUPA 01","Barragem Fazenda Aguassu","COOPERATIVA DE EXTRACAO MINERAL DE NOSSA SENHORA DO LIVRAMENTO","MT"
"Santa Tereza","BARRAGEM COOP 01","COOPERATIVA DE EXTRACAO MINERAL DE NOSSA SENHORA DO LIVRAMENTO","TO"
"Barragem da Grota","Barragem 1 - Decantação","MSM Mineração Serra da Moeda Ltda.","MT"
"Tanque Fundo","Barragem 2 - Decantação","MSM Mineração Serra da Moeda Ltda.","MT"
"BARRAGEM 7","Barragem  LVR","L V R COMERCIO E EXTRACAO MINERAL LTDA","BA"
"TB01","VALE GOLD","VALE GOLD S.A.","BA"
"Barragem Aroeira","Pilha 07 - P7C2","MINERACAO CARAIBA S/A","BA"
"Modulo 3","Barragem TB","COOPERATIVA DE EXTRACAO MINERAL DE NOSSA SENHORA DO LIVRAMENTO","BA"
"Rejeito","BR ÁGUA DE COCO","FILADELFO DOS REIS DIAS","AP"
"BACIA DE REJEITOS SÃO BENTO","brejão","M & J MINERACAO, PISCICULTURA E REFLORESTAMENTO - EIRELI","PA"
"BARRAGEM DO BURACO","MULTI 1","Ricardo Padilla de Bordon Neves","AP"
"BARRAGEM BOM JARDIM","Barragem JL","Marcus Vítor Nunes Lindote","AP"
"Barragem de Mercês","BRITO","Bento Soares de Brito","AP"
"GERAIS","PILHA 11 - P11C1","MINERACAO CARAIBA S/A","AP"
"CAMC","PILHA 11 - P11C2","MINERACAO CARAIBA S/A","MT"
"Barragem MCSA","PILHA11 - P11C3","MINERACAO CARAIBA S/A","PA"
"Dique 3","PILHA11 - P11C4","MINERACAO CARAIBA S/A","MT"
"POND 1 - BARRAGEM DE LIXIVIAÇÃO","Labourrie","Cooperativa de Mineração dos Garimpeiros do Lourenço Ltda","MT"
"POND 2 - BARRAGEM DE FLOTAÇÃO","Cajueiro","PARA ALTA FLORESTA GOLD MINERACAO LTDA","MT"
"Cachoeirinha","Barragem 1","COOPERATIVA DOS GARIMPEIROS DO VALE DO VILA NOVA","MT"
"Dique Lisa","Barragem 2","COOPERATIVA DOS GARIMPEIROS DO VALE DO VILA NOVA","MT"
"POND 3 - BARRAGEM DE FLOTAÇÃO","Barragem 3","COOPERATIVA DOS GARIMPEIROS DO VALE DO VILA NOVA","MG"
"Santa Bárbara","Barragem 4","COOPERATIVA DOS GARIMPEIROS DO VALE DO VILA NOVA","MT"
"CHAPADINHA 061","Barragem Jauru","RIVER GOLD MINERACAO LTDA","MT"
"CHAPADINHA 221","LD 8 - Lagoa de disposição 8","Alcoa World Alumina Brasil Ltda.","MT"
"PIRAPORÃO 138 II","TB04","MINERACAO TANQUE BELO LTDA","MG"
"BARRAGEM DE CLARIFICAÇÃO","DIEGO","DIEGO MACEDO CARDOSO","MG"
"PIRAPORÃO 138 III","Barragem - Valdenir","CLAUDIO HENRIQUE TEODORO DE ALMEIDA","SP"
"Barragem de Rejeitos","Barragem Novo Astro","COOPROBAND - COOPERATIVA DE PRODUTORES MINERAIS DE NOVA BANDEIRANTES","SP"
"SANGUINETE","TARUMÃ II","ALEX HENRIQUE CRUZ","SP"
"Barragem Salinas 1","BARRAGEM DIQUE 2","MINAR MINERACAO AREDES LTDA","PA"
"B1","Fortuna","MARCOS JOSE MARTINS FERNANDES","MT"
"B2","Neta","Diego Sérgio de oliveira Almeida","MT"
"B4","Novo Astro I","COOPROBAND - COOPERATIVA DE PRODUTORES MINERAIS DE NOVA BANDEIRANTES","MT"
"Califórnia","Barragem Bacia de Decantação 02","MINERACAO FL JOTAS LTDA","MT"
"Marçu","Barragem Bacia de Decantação 03","MINERACAO FL JOTAS LTDA","PA"
"Rancho Casca","JBS1","Empresa de Mineração e Artefatos de Cimento Jbs Ltda Epp","MT"
"Barragem 02 - Canindé","Quevedo 3","EXTRACAO E COMERCIO DE AREIA QUEVEDO & SILVA LTDA","MG"
"Barragem 03 - Zé da Grota","RX-01","MINERADORA AREIA NOVA LTDA","MT"
"Dique 01 - Serra Azul","Lagoa São Chico","SERABI MINERACAO S.A.","MG"
"Dique 02 - Pitangui","Santa Bárbara","JEFFERSON LUIZ DE ARRUDA E SILVA","MG"
"Dique 06 - Véu da Noiva Jusante","BR ÁGUIA DO SOL","FILADELFO DOS REIS DIAS","MG"
"Dique 08 - Pátio CMC","STC03","Valdinei Mauro de Souza","MG"
"Dique de Concreto","LIPINISKY","william monteiro lipinisky","PA"
"Barragem 2 - Decantação","Barragem II","CELESTA MINERACAO S.A","MT"
"Guará 2","MD-01","MORRO DOURADO LTDA","MT"
"BACIA DE REJEITOS BOM JARDIM","Dique do Dry Stacking","MINERACAO USIMINAS S.A.","MT"
"Guará 3","Barragem_Valdenir2","CLAUDIO HENRIQUE TEODORO DE ALMEIDA","MT"
"TD2","BACIA USINA DE BENEFICIAMENTO - IA","MAGNESITA MINERACAO S.A.","MT"
"Barragem de Rejeito 01","BACIA USINA DE BENEFICIAMENTO - IB","MAGNESITA MINERACAO S.A.","MT"
"Dique de Contenção de Sedimentos 02","BACIA DE RECIRCULAÇÃO - RI","MAGNESITA MINERACAO S.A.","MT"
"Barragem Serra Azul","BACIA DE RECIRCULAÇÃO - RII","MAGNESITA MINERACAO S.A.","MT"
"EB-2","Dique 06","MINERACAO ONCA PUMA S.A.","MT"
"Dique 01 de Terra","BARRAGEM DE MINERAÇÃO","COOPERATIVA DE EXTRACAO MINERAL DE NOSSA SENHORA DO LIVRAMENTO","BA"
"Dique 2 de Concreto","PURO OURO","VALGNO DE MATOS TINOCO","MT"
"Pond de Emergência","BARBA","Cleomenes Santos Silva","MT"
"Dique 03","VCS","VALDEMIR CARLOS DE SOUZA","MT"
"Barragem de Rejeito Max","MOCOTÓ","FRANCISCO XAVIER DA SILVA","MT"
"BRAVO 1","BR SANTA FELICIDADE 04","FILADELFO DOS REIS DIAS","MT"
"Barragem 3A - Sedimentação","VALE DO OURO","Rodrigo Moraes Fiacadori","MT"
"Barragem 3B - Sedimentação","Barragem MSJ","COOPERATIVA DE EXTRACAO MINERAL DE NOSSA SENHORA DO LIVRAMENTO","MG"
"Barragem 4 - Acumulação","CATARINO","CATARINO PEDROSO DE BARROS","MT"
"Barragem 5 - Captação","BARRAGEM 03","SAMACA FERROS LTDA","MG"
"Barragem 6 - Dique Filtrante","LD-01","COOPERATIVA DE EXTRACAO MINERAL DE MATO GROSSO","MG"
"B5","Barragem de Rejeito - Mineração Ouro Fino","COOPERATIVA DE EXTRACAO MINERAL DE MATO GROSSO","MG"
"barragem 7 - Dique Filtrante","Mineração Livramento","DELIA GODOY RAZUK","PA"
"Barragem 8 - Dique Filtrante","P.R.A","EUROMAQUINAS MINERACAO LTDA","MT"
"Barragem 9 - Dique Filtrante","BR03","MINERACAO ABDALA LTDA","MT"
"Bacuri","Barragem Serrinha","SERRINHA GOLDMINE LTDA","MG"
"BACIA DE REJEITOS 16","Dique PDE 1","ITAMINAS COMERCIO DE MINERIOS SA","SP"
"SAMACA","Barragem de Rejeito Capim Gold 2","EVALDO TESCHIMA LEITE","MT"
"803.285/2014","Barragem da Grota","SAFM MINERACAO LTDA","GO"
"BARRAGEM T01","Dique de Contenção de Sedimentos Crista","ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.","PA"
"CASA DE PEDRA","Dique do Puma 04","MINERACAO ONCA PUMA S.A.","PA"
"BARRAGEM  BLOCO NORTE","Barragem de Mineração-CPM","NORMA ARGES OLIVA","PA"
"BACIA DE REJEITO MINERGOLD","NSL 01","MINERBRAS MINERACAO LTDA","GO"
"BARRAGEM BLOCO  SUL","Sump da Pilha 1","AVG EMPREENDIMENTOS MINERARIOS S.A.","BA"
"BARRAGEM","Barragem Cava 14","MINERACAO JUNDU LTDA","BA"
"Barragem de Rejeitos Bom Futuro","Martins 2","HELLEN ELIZABETH CORREA MARTINS","GO"
"Barragem de Rejeito Estrela 03","CAFUNDÓ","CENTRO OESTE GOLD MINE S.A.","MG"
"REJEITO USINA","Dique do Puma 08","MINERACAO ONCA PUMA S.A.","GO"
"Barragem EPP","SP-24A","MINERACAO RIO DO NORTE SA","PA"
"Barragem MRDM","SP-24B","MINERACAO RIO DO NORTE SA","AP"
"BARRAGEM T02","SP-24C","MINERACAO RIO DO NORTE SA","MT"
"BARRAGEM T03","Mosquitos","GF GOLD MINERACAO EIRELI","MT"
"Santa Líbera","TQ 63202 - Bacia de Finos Cachoeira","INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","RS"
"BARRAGEM DE REJEITOS PGDM","TQ 63201 - Pré Bacia Cachoeira","INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","MT"
"Taboquinha 01 - Crente","Dique de finos 01 - Depósito Área VIII","MOSAIC FERTILIZANTES P&K LTDA.","MT"
"Taboquinha 02 - Serra Azul","BACIA DE DECANTAÇÃO  DIQUE DE ENROCAMENTO PDE6 - FASE 1","MOSAIC FERTILIZANTES P&K LTDA.","SP"
"Taboquinha 03","Barragem Metago","DOMUS AUREA MINERACAO LTDA","MT"
"Taboquinha 04","Pera Montante","VALE S.A.","RS"
"OURO BRANCO OESTE","VILA NOVA","UNAMGEN MINERACAO E METALURGIA SA","MT"
"Alemães","Elvo Captação","COOPERATIVA DE MINERACAO DOS GARIMPEIROS DE PONTES E LACERDA - COMPEL","GO"
"Bacia Lavador de Rodas","SR.PEDRINHO","COOPERATIVA DE MINERACAO DOS GARIMPEIROS DE PONTES E LACERDA - COMPEL","MT"
"Baias da UTM II","BARRAGEM JF ROST","J F Rost Martins","SP"
"Bacia de Conteção de Finos da PDE-A Norte","BARRAGEM DE REJEITO NORMA","NORMA ARGES OLIVA","MG"
"Bacia de Conteção de Finos da PDE-A Sul","SÃO RAFAEL","SIDNEI RAFAEL DE SOUZA","MT"
"Dique Norte da PDE 1","Chácara Santa Maria","PORTO DE AREIA BRANCA LTDA","GO"
"North Mill Pond","BRAVO IV","Fellipe Gabriel Firmino Bravo","MT"
"TAP D","P1-1","COMPANHIA RIOGRANDENSE DE MINERACAO CRM","MT"
"Dique 1 (Barragem 2 -Britagem)","Beariz","EXTRACAO DE MINERIO BEARIZ LTDA","MT"
"Dique 3 (Barragem 1 - Portaria)","Mosquitos 2","GF GOLD MINERACAO EIRELI","MG"
"Dique 4 (Barragem 3 - Bota fora)","Barragem Rejeito Max 2","Maxcimiliano Mendes Nascimento","MT"
"Dique 5 (Barragem 4 - Bota fora)","Dique 1 (Barragem 2 -Britagem)","PEDREIRA SARGON LTDA","MS"
"Bacia 1 A","B1","NACIONAL DE GRAFITE LTDA","MT"
"Bacia 1 B","Isa","YURI MACEDO OLIVEIRA","SP"
"Bacia 2","BARRAGEM DE REJEITOS PGDM","PILAR DE GOIAS DESENVOLVIMENTO MINERAL LTDA","MG"
"Bacia 3","Barragem VERA","Sandro de França","MG"
"Bacia 5 A","Barragem XAVIER","FRANCISCO XAVIER DA SILVA","MG"
"Bacia 5 B","QB-01","COOPERATIVA DE EXTRACAO MINERAL DE MATO GROSSO","MG"
"Bacia 5 C","Dique Pilha Brumado","AVG EMPREENDIMENTOS MINERARIOS S.A.","SP"
"Bacia 6 A","BARRAGEM MANAH 1","aparecido francisco da silva","SP"
"Bacia de Segurança","Barragem Sul","VETRIA MINERACAO S.A.","AP"
"Bacia B 1","TANQUE DE DECANTAÇÃO","MINERACAO DO VALE LTDA","AP"
"Bacia de Controle Ambiental","Barragem PM1","PM1 MINERACAO LTDA","AP"
"Deposito de Rejeito R4","Barragem de Sedimentos da Pedreira Itapeti - BA2","EMBU S A ENGENHARIA E COMERCIO","AP"
"RESERVATÓRIO 01","Barragem B1A","EMICON MINERACAO E TERRAPLENAGEM LIMITADA","AP"
"MNP-01","Barragem Quéias","EMICON MINERACAO E TERRAPLENAGEM LIMITADA","AP"
"RESERVATÓRIO 01","Dique B3","EMICON MINERACAO E TERRAPLENAGEM LIMITADA","MT"
"Bacia 01","Dique B4","EMICON MINERACAO E TERRAPLENAGEM LIMITADA","MT"
"Bacia 07","TD1","DISK-BASE EXT.DE AREIA E COM.DE MAT.P/CONST.LTDA","MG"
"Bacia 08","TD4","DISK-BASE EXT.DE AREIA E COM.DE MAT.P/CONST.LTDA","MT"
"Bacia 09","Sedimentacao IV","INDUSTRIA E COMERCIO DE MINERIOS S/A - ICOMI","MT"
"Bacia 15","km 190","INDUSTRIA E COMERCIO DE MINERIOS S/A - ICOMI","MT"
"Bacia 16","Baixinhos","INDUSTRIA E COMERCIO DE MINERIOS S/A - ICOMI","MT"
"Bacia 17","T11","INDUSTRIA E COMERCIO DE MINERIOS S/A - ICOMI","SP"
"Capão da Serra","Sentinela","INDUSTRIA E COMERCIO DE MINERIOS S/A - ICOMI","MG"
"Horizontes","Sedimentacao V","INDUSTRIA E COMERCIO DE MINERIOS S/A - ICOMI","MG"
"Vargem Grande","Tupa 1","RUBENS GIMENEZ RODRIGUES","MG"
"B","Barragem GMX","MAX JOEL RUSSI","SP"
"II","Dique Santa Cruz","MINERACAO SANTA CRUZ LTDA","SP"
"III","Barragem de Rejeito 01","COOPERATIVA MISTA DOS GARIMPEIROS DE PEIXOTO DE AZEVEDO","MG"
"Peneirinha","VICTOR","Victor Augusto de Arruda Gimenez","MG"
"Reservatório 01","LV-01","O MINERIO PARTICIPACOES LTDA","MG"
"RESERVATÓRIO 01","Barragem Sankara","T. N. MINERACOES LTDA","MG"
"Dique BIII-2","Sítio Horii","EMPRESA DE MINERACAO HORII LTDA","MG"
"Dique BIII-3","Barragem da Mina II","COMPANHIA MINERADORA DO PIROCLORO DE ARAXA","MG"
"Bacia de Finos da Mina do Recreio","Barragem B1","MINERACAO GERAL DO BRASIL S/A","MG"
"Bacia de Finos da Mina do Cerro","Barragem B2","MINERACAO GERAL DO BRASIL S/A","MG"
"B1","Lagoa 1","MINERACAO DARCY R.O. E SILVA LTDA","MG"
"BARRAGEM DA USINA","Lagoa 2","MINERACAO DARCY R.O. E SILVA LTDA","MG"
"B1","6","VALE S.A.","MG"
"Medrado 1","BARRAGEM BOM JARDIM","BAUMINAS MINERACAO LTDA","GO"
"Medrado 2","Barragem de Rejeitos","ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A","GO"
"Medrado 3","Barragem de Mercês","BAUMINAS MINERACAO LTDA","GO"
"Barragem de Contenção de Sedimentos do Josino","Dique de Contenção de Sedimentos 02","ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A","AM"
"Dique de Sedimentos da PDE Cava Sul","Dique de Contenção de Sedimentos 04","ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A","AM"
"BARRAGEM DO SOSSEGO","Dique de Contenção de Sedimentos 05","ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A","AM"
"CSO1","EB-2","ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A","AM"
"PN - 1","Dique de Contenção de Sedimentos 03","ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A","AM"
"PN - 3","BARRAGEM DO BURACO","CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.","AM"
"PN - 4","Unidade I","CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.","AM"
"PN - 6","Unidade II","CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.","AM"
"PS -1","Unidade IB","CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.","MG"
"11 - DES","Unidade IIB","CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.","PA"
"12 - DES","0-1","MINERACAO TABOCA S A","PA"
"13 - AN","103 (Cruz)","MINERACAO TABOCA S A","PA"
"Barragem de Rejeitos do Córrego Baco Pari","111 (Índio)","MINERACAO TABOCA S A","PA"
"Igarapé Mutum","158 (A-1)","MINERACAO TABOCA S A","PA"
"Jacaré Inferior","161 (A-2)","MINERACAO TABOCA S A","PA"
"Jacaré Medio","444 (A-3)","MINERACAO TABOCA S A","PA"
"Jacaré Superior","Pau D'Arco","MINERACAO TABOCA S A","MG"
"Rio Santa Cruz","81-1","MINERACAO TABOCA S A","BA"
"RESERVATÓRIO 01","Barragem MRDM","MINERACAO RIACHO DOS MACHADOS LTDA.","MG"
"P1-1","LE - Lagoa de Espessamento","Alcoa World Alumina Brasil Ltda.","MG"
"RESERVATÓRIO 02","LD7 - Lagoa de Disposição 7","Alcoa World Alumina Brasil Ltda.","PR"
"Unidade II","LD6 - Lagoa de Disposição 6","Alcoa World Alumina Brasil Ltda.","PA"
"Unidade I","LD3 - Lagoa de Disposição 03","Alcoa World Alumina Brasil Ltda.","PA"
"Unidade IIB","LD2 - Lagoa de Disposição 02","Alcoa World Alumina Brasil Ltda.","PA"
"Bacia 05 Alto da Serra","LD1 - Lagoa de Disposição 01","Alcoa World Alumina Brasil Ltda.","PA"
