"nomeempreendedor","total_barragens"
"CBE COMPANHIA BRASILEIRA DE EQUIPAMENTO Filial: CBE COMPANHIA BRASILEIRA DE EQUIPAMENTO - EM RECUPERACAO JUDICIAL","1"
"INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","10"
"SAFM MINERACAO LTDA","1"
"Mineração Pedra Menina Ltda","3"
"PEDREIRA SARGON LTDA","4"
"aparecido francisco da silva","1"
"JACOBINA MINERACAO E COMERCIO LTDA","2"
"Manoel Rodrigues Gimenes","1"
"PLINIO ALMEIDA BOSON & CIA LTDA","1"
"MORRO AGUDO MINERAIS LTDA","3"
"MINERACAO COMISA LTDA","2"
"MINERACOES GERAIS LTDA","2"
"NX GOLD S.A. Filial: NX GOLD S.A.","3"
"VALDEMIR CARLOS DE SOUZA","2"
"RUBENS GIMENEZ RODRIGUES","1"
"BURITIRAMA MINERACAO S.A. FALIDO","3"
"DEV MINERACAO S.A. - EM RECUPERACAO JUDICIAL","1"
"GINEZ GIMENES NETO","2"
"COOPERATIVA DOS GARIMPEIROS DE SANTA CRUZ - COOPERSANTA","4"
"MINERACAO TABIPORA LTDA","1"
"AMG BRASIL S.A.","1"
"Piteiras Mineração Ltda.","1"
"PARA PIGMENTOS S A","3"
"AVG EMPREENDIMENTOS MINERARIOS S.A.","4"
"EVANDRO DE SOUZA","1"
"Brasmic Mineração Areia e Brita Ltda","1"
"João Gabriel Guizzo","1"
"MINERACAO CARAIBA S/A","50"
"O MINERIO PARTICIPACOES LTDA","1"
"HERCULANO MINERACAO LTDA","3"
"william monteiro lipinisky","1"
"ITAQUAREIA INDUSTRIA EXTRATIVA DE MINERIOS LTDA","2"
"MINERACAO DESCALVADO LIMITADA","1"
"COOPERATIVA DE EXTRACAO DE METAIS E PEDRAS PRECIOSAS DE PONTES E LACERDA-MT","1"
"PORTO COMERCIO DE AREIA LTDA","1"
"COOPERATIVA DE MINERADORES E GARIMPEIROS DA REGIAO DE ARIPUANA - COOPEMIGA","1"
"Cleomenes Santos Silva","1"
"NOVELIS DO BRASIL LTDA.","1"
"NACIONAL DE GRAFITE LTDA","6"
"GREEN METALS NOVA ERA SOLUCOES AMBIENTAIS S.A","1"
"CARBETO DE SILICIO SIKA BRASIL LTDA","3"
"MORRO DOURADO LTDA","1"
"Roberto Eustáquio Silva Pedrosa","1"
"ANGELO CARLOS VICARI JUNIOR","2"
"Ronny Morais Costa","2"
"Geocal Mineração Ltda","1"
"DOMUS AUREA MINERACAO LTDA","1"
"MINERACAO ABDALA LTDA","3"
"EMPRESA DE MINERACAO HORII LTDA","1"
"FERRO + MINERACAO S.A.","2"
"T B K - MINERACAO LIMITADA","1"
"MULLER & CIA LTDA","2"
"VALE GOLD S.A.","1"
"CIMENTO TUPI S.A. EM RECUPERACAO JUDICIAL","2"
"MINERACAO USIMINAS S.A.","22"
"TECH ROCK MINERACAO LTDA","1"
"Construtora Martins Lanna Ltda.","2"
"José Vicente Nunes Rondon","1"
"Minerita Minérios Itaúna Ltda.","7"
