"nome","municipio"
"BARRAGEM SUL OU TANQUE VELHO","MARIANA"
"Barragem 1","CORUMBÁ"
"Barragem da Mina II","ANTÔNIO DIAS"
"DIQUE DE FINOS II","MARIANA"
"Barragem da Cava","POCONÉ"
"Barragem do Felipe","NATIVIDADE"
"Barragem do Muriacá","NATIVIDADE"
"CALCINADOS","IBIÚNA"
"Barragem do Mirante I e II","CORUMBÁ"
"0-1","POCONÉ"
"COCURUTO","POCONÉ"
"CONTENÇÃO DE REJEITOS DE CDS II","POCONÉ"
"CONTENÇÃO DE REJEITOS DE CUIABÁ","ANTÔNIO DIAS"
"22","ANTÔNIO DIAS"
"Barragem de Rejeitos de Irecê","NATIVIDADE"
"LAGOA FACEL 4","JAGUARARI"
"30/jan.","JAGUARARI"
"LAGOA FACEL 3","JAGUARARI"
"42","SÃO GONÇALO DO RIO ABAIXO"
"68-1","SÃO GONÇALO DO RIO ABAIXO"
"69","JAGUARARI"
"75-1","JAGUARARI"
"81-1","JAGUARARI"
"Barragem B2","JAGUARARI"
"Barragem B3","JAGUARARI"
"Barragem B4","JAGUARARI"
"158 (A-1)","JAGUARARI"
"161 (A-2)","ITAPUÃ DO OESTE"
"B5","ITAPUÃ DO OESTE"
"RIO BRANCO","JAGUARARI"
"DIQUE DE FINOS III","INHAÚMA"
"BARRAGEM DO VIGIA","POCONÉ"
"BARRAGEM B2 AUXILIAR","ARAXÁ"
"BARRAGEM B2","ITAPUÃ DO OESTE"
"CONTENÇÃO DE FINOS DE CDS I","ITAPUÃ DO OESTE"
"BARRAGEM ECOLÓGICA 1","ITAPUÃ DO OESTE"
"B4","ITAPUÃ DO OESTE"
"RAPAUNHA","NOSSA SENHORA DO LIVRAMENTO"
"BARRAGEM DE FINOS II","JAGUARARI"
"BARRAGEM DE REJEITOS DO MIRIM","JAGUARARI"
"Sítio Horii","JAGUARARI"
"Barragem Santa Helena","JAGUARARI"
"Barragem de rejeito não magnético 02","JAGUARARI"
"Barragem de rejeito não magnético 03","JAGUARARI"
"PORTO-4A","JAGUARARI"
"Barragem Santa Rita","JAGUARARI"
"Dique Santa Rita","DESCALVADO"
"SANTO ANTÔNIO","ITAPETININGA"
"VILA NOVA","MACHADINHO D'OESTE"
"TANQUE DE DECANTAÇÃO","NOSSA SENHORA DO LIVRAMENTO"
"TANQUE DE DECANTAÇÃO 2","NOSSA SENHORA DO LIVRAMENTO"
"Cava do Germano","NOSSA SENHORA DO LIVRAMENTO"
"Barragem 01","NOVA SANTA HELENA"
"BARRAGEM 02","URUSSANGA"
"DIQUE DE SAÍDA DE CAVA","NOSSA SENHORA DO LIVRAMENTO"
"PORTO-4B","NOVA SANTA HELENA"
"Barragem de Germano","NOSSA SENHORA DO LIVRAMENTO"
"189","ROSÁRIO OESTE"
"BARRAGEM DE GABIÕES","NOVA LIMA"
"444 (A-3)","CATAS ALTAS"
"Pau D'Arco","CATAS ALTAS"
"Nova Barragem de Santarém","CATAS ALTAS"
"SUMP DE CONTENÇÃO DE SEDIMENTOS","PARANAÍTA"
"111 (Índio)","RIO CRESPO"
"103 (Cruz)","CURIONÓPOLIS"
