"idmina","nomemina"
507,"Barragem B4"
508,"Barragem MCSA"
509,"Barragem 03 - Zé da Grota"
510,"Barragem 02 - Canindé"
511,"BARRAGEM SUL OU TANQUE VELHO"
512,"BARRAGEM DE REJEITOS DO MIRIM"
513,"BARRAGEM DE FINOS II"
514,"DIQUE DE FINOS I"
515,"DIQUE DE FINOS III"
516,"DIQUE DE FINOS II"
517,"Dique BIII-3"
518,"Dique BIII-2"
519,"Beariz 2"
520,"BARRAGEM D4"
521,"Barragem de Rejeitos - BAR"
522,"Bacia Nestor Figueiredo - BNF"
523,"Barragem 02"
524,"Barragem 03"
525,"Barragem Serra Azul"
526,"Barragem de Sedimentos da Pedreira Itapeti - BA1"
527,"Barragem de Sedimentos da Pedreira Juruaçu - BA4"
528,"BARRAGEM DE LIXIVIAÇÃO"
529,"BARRAGEM DE FLOTAÇÃO"
530,"Barragem do Vené II"
531,"Barrragem do Vené"
532,"BARRAGEM USINA/CIP - LAGO 1 E 2"
533,"BARRAGEM USINA/CIP - LAGO 3"
534,"BARRAGEM USINA/CIP - LAGO 4"
535,"Bacia 17"
536,"BACIA DE REJEITOS 16"
537,"Dique Norte da PDE 1"
538,"BARRAGEM DO SABÃO I"
539,"Galego"
540,"Sul Inferior"
541,"Sul Superior"
542,"Campo Grande"
543,"Dicão Leste"
544,"Mosquito"
545,"Xingu"
546,"Timbopeba"
547,"Principal"
548,"PDE Fosforoso"
549,"PDE Permanente I"
550,"PDE Permanente II - Fase I"
551,"Barragem de Rejeito Almas"
552,"B1"
553,"Barragem T08"
554,"Moça Bonita"
555,"Barragem 01"
556,"5 (MAC)"
557,"7a"
558,"7B"
559,"Capim Branco"
560,"Menezes I"
561,"Menezes II"
562,"VI"
563,"VII"
564,"BARRAGEM DO SOSSEGO"
565,"Alain II"
566,"Bacia B-9"
567,"FRANCÊS"
568,"Barragem B-6"
569,"COQUEIRAL"
570,"Barragem de Rejeito 01"
571,"GONÇA"
572,"CANGAS"
573,"RONDON"
574,"MARANATA"
575,"Barragem Samambaia 0 (Zero)"
576,"BR BOSCO"
577,"Dique Oeste"
578,"BACIA DE REJEITOS BOM JARDIM"
579,"B3"
580,"BR ISMAEL"
581,"Dicão"
582,"Davi"
583,"PDE 3"
584,"Bacia Grota da Onça"
585,"Barragem Torto"
586,"Sul (Córrego do Canal)"
587,"Porteirinha"
588,"Diogo"
589,"Monjolo"
590,"Elefante"
591,"BACIA DE REJEITOS SÃO BENTO"
592,"Barragem de Rejeitos SB 02"
593,"Estéril Sul"
594,"Pera Jusante"
595,"Jacaré"
596,"Barragem 01"
597,"Barragem 02"
598,"Geladinho"
599,"Barragem de Rejeito 1"
600,"Azul"
601,"SANDRO GOMES"
602,"BARRAGEM T01"
603,"Kalunga"
604,"Barragem AFGM GP2"
605,"BARRAGEM 02"
606,"Barragem 01"
607,"Gelado"
608,"5 (Mutuca)"
609,"Grameiro"
610,"Alto Jacutinga"
611,"Nova Baixo João Pereira"
612,"Barnabé"
613,"Barnabé 1"
614,"Forquilha I"
615,"Forquilha II"
616,"Maney Mineração"
617,"Marés I"
618,"Marés II"
619,"B"
620,"Capão da Serra"
621,"Cianita 1"
622,"Cianita 2"
623,"Cianita 3"
624,"Horizontes"
625,"II"
626,"III"
627,"Maravilhas I"
628,"Água Fria"
629,"Maravilhas II"
630,"Maravilhas III"
631,"Peneirinha"
632,"Vargem Grande"
633,"FAZENDA 4M"
634,"Barragem de Rejeitos do Córrego Baco Pari"
635,"OURO FINO"
636,"FRED"
637,"Área IX"
638,"BARRAGEM 7"
639,"Dique de Pedra"
640,"Forquilha IV"
641,"Forquilha V"
642,"Grupo"
643,"Forquilha III"
644,"JOAO PAULO"
645,"Barragem B2"
646,"Barragem B1"
647,"Barragem B5"
648,"Barragem Antas Norte"
649,"CHIMBUVA"
650,"ED Monjolo"
651,"ED Vale das Cobras"
652,"Norte/Laranjeiras"
653,"Novo Dique dos Macacos"
654,"Barragem de Germano"
655,"Dique 1010"
656,"Barragem Eixo 1"
657,"Nova Barragem de Santarém"
658,"Cava do Germano"
659,"CASA DE PEDRA"
660,"Barragem de Rejeito Max"
661,"Dique S4"
662,"TB01"
663,"Barragem TB02"
664,"Agua Limpa"
665,"Planta"
666,"Barragem Santa Rita"
667,"BARRAGEM T02"
668,"Barragem EPP"
669,"Cabeceiras"
670,"Casarão"
671,"Dique de Finos"
672,"Dique S3"
673,"Barragem de Decantação de Água e Polpa - EBII - Mineroduto"
674,"Dique de Finos"
675,"Cava Camarinha"
676,"Cava Pedrinhas"
677,"B6"
678,"B7"
679,"Taquaras"
680,"Alcindo Vieira"
681,"Cemig I"
682,"Bacia A"
683,"Cemig II"
684,"Bacia B"
685,"Conceição"
686,"Bacia de Acumulação A"
687,"Itabiruçu"
688,"Bacia de Acumulação B"
689,"Jirau"
690,"Piabas"
691,"Santana"
